Task,Embedder,Classifier,Word,n,Score,ci_lower,mean,ci_upper
object_number,gpt,20_20_20,rat,50,60.964,58.552825223435946,60.98378162106555,63.0883125
subject_animacy,bert,1024,the_1,50,67.49,61.80130200860832,67.69520746973882,73.74186647727272
subject_animacy,bert,1024,cat,50,82.956,76.74453161592506,82.97910153531386,89.1744557416268
subject_animacy,bert,1024,chased,50,73.544,67.52963541666666,73.4499251966626,79.5731372850123
subject_animacy,bert,1024,the_2,50,68.65599999999999,62.73295110474632,68.69575539410258,75.08913260869565
subject_animacy,bert,1024,rat,50,69.062,63.38604156358238,69.08156142377366,74.96211943319838
subject_animacy,bert,1024_1024_1024,the_1,50,53.705999999999996,52.8,53.732893756295425,55.978947368421046
subject_animacy,bert,1024_1024_1024,cat,50,57.51,53.82391304347826,57.51316782430314,61.68794160702667
subject_animacy,bert,1024_1024_1024,chased,50,54.687999999999995,52.8,54.70141566449734,57.61694400837258
subject_animacy,bert,1024_1024_1024,the_2,50,54.668,52.8,54.69673643473508,57.567788052721085
subject_animacy,bert,1024_1024_1024,rat,50,52.8,52.8,52.8,52.8
subject_animacy,bert,20_20_20,the_1,50,79.724,73.22099999999999,79.8303235704446,86.53206818181818
subject_animacy,bert,20_20_20,cat,50,81.97800000000001,74.73484108527131,81.75828206616909,88.35788095238095
subject_animacy,bert,20_20_20,chased,50,81.116,74.71151676829268,81.20019387888566,87.6356
subject_animacy,bert,20_20_20,the_2,50,82.59,76.07726398601399,82.52059441168053,88.80990566037735
subject_animacy,bert,20_20_20,rat,50,84.40599999999999,78.20374841437632,84.25917688714051,89.72072634508349
subject_animacy,elmo,1024,the_1,50,75.456,69.17551020408163,75.66907877221865,82.16888888888889
subject_animacy,elmo,1024,cat,50,86.784,80.61428571428571,86.79982114638398,92.13333333333333
subject_animacy,elmo,1024,chased,50,87.684,81.65188775510204,87.62226180744804,93.22514030612244
subject_animacy,elmo,1024,the_2,50,71.654,65.04563703703703,71.65034248047412,78.07663617886179
subject_animacy,elmo,1024,rat,50,58.794,55.31345618803965,58.858813164382966,63.036621212121204
subject_animacy,elmo,1024_1024_1024,the_1,50,61.296,56.338907407407405,61.32522329834389,66.50481182795698
subject_animacy,elmo,1024_1024_1024,cat,50,74.512,67.93962264150943,74.44689897732798,81.12
