Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
number,GLoVe,1024_1024_1024,the_2,50,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,rat,50,83.826,77.02679252199414,83.85250934703721,90.1943116554054,object
number,GLoVe,20_20_20,the_1,50,46.2,46.2,46.2,46.2,object
number,GLoVe,20_20_20,cat,50,49.348,48.682430555555555,49.36031502806665,50.055723270440254,object
number,GLoVe,20_20_20,chased,50,47.35,46.9755799773114,47.35633903583076,47.716437235271464,object
number,GLoVe,20_20_20,the_2,50,46.2,46.2,46.2,46.2,object
number,GLoVe,20_20_20,rat,50,68.306,61.147949236298295,68.40794642857846,75.93606774193549,object
number,GPT,1024,the_1,50,46.2,46.2,46.2,46.2,object
number,GPT,1024,cat,50,46.2,46.2,46.2,46.2,object
number,GPT,1024,chased,50,46.198,46.19318181818182,46.19785146513282,46.2,object
number,GPT,1024,the_2,50,46.2,46.2,46.2,46.2,object
number,GPT,1024,rat,50,59.658,57.501622727272725,59.623783510263834,61.77656392045454,object
number,GPT,1024_1024_1024,the_1,50,46.2,46.2,46.2,46.2,object
number,GPT,1024_1024_1024,cat,50,46.252,46.2,46.25095310437652,46.39265277777778,object
number,GPT,1024_1024_1024,chased,50,46.2,46.2,46.2,46.2,object
number,GPT,1024_1024_1024,the_2,50,46.2,46.2,46.2,46.2,object
number,GPT,1024_1024_1024,rat,50,47.518,46.51595714285715,47.493343888565676,48.76841964285714,object
number,GPT,20_20_20,the_1,50,46.2,46.2,46.2,46.2,object
number,GPT,20_20_20,cat,50,46.928000000000004,46.59606453028972,46.925149508201585,47.28614534883721,object
number,GPT,20_20_20,chased,50,47.952,47.49704081632653,47.95131903996623,48.42467272727273,object
number,GPT,20_20_20,the_2,50,48.108,47.66775833333333,48.0997520841136,48.52450297619047,object
number,GPT,20_20_20,rat,50,60.964,58.64289271610355,61.00893286716745,63.081221091581874,object
animacy,BERT,1024,the_1,16,98.7125,98.299625,98.7240330386019,99.06156250000001,subject
animacy,BERT,1024,cat,32,99.91875,99.90625,99.91878105987682,99.93235294117648,subject
animacy,BERT,1024,chased,22,99.94545454545455,99.9039,99.94523679500948,99.98183155080214,subject
animacy,BERT,1024,the_2,17,99.43529411764706,99.30766666666668,99.43715999726254,99.54666666666667,subject
animacy,BERT,1024,rat,18,97.97222222222223,97.73333333333333,97.97040498353269,98.21878125,subject
