Task,Encoder,Classifier,Word,n,Score,ci_lower,mean,ci_upper,Target
animacy,GLoVe,1024_1024_1024,the_1,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,1024_1024_1024,cat,50,72.038,66.175,71.96943024568965,78.31911458333333,subject
animacy,GLoVe,1024_1024_1024,chased,50,54.848,54.75408909574468,54.84995546267533,54.9,subject
animacy,GLoVe,1024_1024_1024,the_2,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,1024_1024_1024,rat,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,20_20_20,the_1,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,20_20_20,cat,50,81.608,75.70881157635468,81.45492028345502,87.37547272727272,subject
animacy,GLoVe,20_20_20,chased,50,54.745999999999995,54.6203611111111,54.74568154269001,54.84904411764706,subject
animacy,GLoVe,20_20_20,the_2,50,54.9,54.9,54.9,54.9,subject
animacy,GLoVe,20_20_20,rat,50,56.62,56.19995192307692,56.63118734815777,57.07210442316461,subject
animacy,GPT,1024,the_1,50,54.9,54.9,54.9,54.9,subject
animacy,GPT,1024,cat,27,100,100,100,100,subject
animacy,GPT,1024,chased,8,92.4,92.08333333333333,92.40058872436238,92.68,subject
animacy,GPT,1024,the_2,25,94.612,94.293,94.60838240934905,94.85456112852665,subject
animacy,GPT,1024,rat,5,93.78,92.05874999999999,93.815281090122,95.4,subject
animacy,GPT,1024_1024_1024,the_1,50,54.9,54.9,54.9,54.9,subject
animacy,GPT,1024_1024_1024,cat,17,100,100,100,100,subject
animacy,GPT,1024_1024_1024,chased,1,91.8,91.8,91.8,91.8,subject
animacy,GPT,1024_1024_1024,the_2,6,94.46666666666667,93.43333333333334,94.4571206281156,95.505,subject
animacy,GPT,1024_1024_1024,rat,2,94.6,94.2,94.61252072159922,95,subject
animacy,GPT,20_20_20,the_1,50,54.9,54.9,54.9,54.9,subject
animacy,GPT,20_20_20,cat,30,100,100,100,100,subject
animacy,GPT,20_20_20,chased,33,92.07575757575758,91.86313067150635,92.06833805344296,92.27931622257054,subject
animacy,GPT,20_20_20,the_2,35,94.61142857142858,94.28942598822539,94.62110233531287,94.91925,subject
animacy,GPT,20_20_20,rat,29,94.6448275862069,94.47139285714286,94.64871081688996,94.83226043643263,subject
gender,BERT,1024,the_1,9,83.22222222222223,81.09949999999999,83.24511016579697,85.35559523809525,subject
gender,BERT,1024,cat,22,99.11818181818182,98.83593333333333,99.12025712608445,99.4,subject
gender,BERT,1024,chased,20,84.585,84.07721590909091,84.57700299496175,85.0935,subject
gender,BERT,1024,the_2,10,83.5,82.62980555555555,83.4964235900997,84.4753125,subject
gender,BERT,1024,rat,1,84.9,84.9,84.9,84.9,subject
gender,BERT,1024_1024_1024,the_1,1,81,81,81,81,subject
gender,BERT,1024_1024_1024,cat,4,99.15,98.3,99.14477088670967,99.6,subject
gender,BERT,1024_1024_1024,chased,2,83.65,82.8,83.61721992045078,84.5,subject
gender,BERT,1024_1024_1024,the_2,1,84.2,84.2,84.2,84.2,subject
gender,BERT,20_20_20,the_1,28,82.79285714285714,82.49614695340502,82.79364480897804,83.12229166666667,subject
gender,BERT,20_20_20,cat,36,99.46944444444445,99.43333333333334,99.46966302823401,99.50322849462366,subject
gender,BERT,20_20_20,chased,32,83.009375,82.34515151515151,82.99865251631745,83.63940357142857,subject
gender,BERT,20_20_20,the_2,33,83.11818181818182,82.71764066496164,83.1124825531413,83.5292439516129,subject
gender,BERT,20_20_20,rat,23,82.98695652173913,82.54799565217391,82.99557524399835,83.5,subject
gender,ELMo,1024,the_1,5,79.72,65.25,79.7001150223311,89.5575,subject
gender,ELMo,1024,cat,31,88.15483870967742,85.8416560798548,88.16362847439504,90.22492424242424,subject
gender,ELMo,1024,chased,10,98.56,98.28745535714285,98.55828263592187,98.82869047619049,subject
gender,ELMo,1024,the_2,1,96.3,96.3,96.3,96.3,subject
gender,ELMo,1024_1024_1024,cat,3,84.16666666666667,74.5,84.0219712885154,89,subject
gender,ELMo,1024_1024_1024,chased,1,98.7,98.7,98.7,98.7,subject
gender,ELMo,20_20_20,the_1,29,90.4448275862069,87.73815217391305,90.508171370972,92.34835928809788,subject
gender,ELMo,20_20_20,cat,27,84.24444444444444,80.23877873563218,84.28577732026989,87.91673076923077,subject
gender,ELMo,20_20_20,chased,39,97.54358974358975,97.44128736413045,97.54559162726619,97.67000675675675,subject
gender,ELMo,20_20_20,the_2,26,95.61153846153846,95.3965453384419,95.61224660799225,95.84805,subject
gender,ELMo,20_20_20,rat,4,60.825,60.1,60.79970003550871,62.4,subject
gender,GLoVe,1024,the_1,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,1024,cat,50,97.884,94.24947727272728,97.86095421596247,100,subject
gender,GLoVe,1024,chased,50,47.116,47.1,47.1157274907316,47.14319983370288,subject
gender,GLoVe,1024,the_2,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,1024,rat,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,1024_1024_1024,the_1,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,1024_1024_1024,cat,50,73.132,65.6603594924812,73.19700396501315,80.60913563829787,subject
gender,GLoVe,1024_1024_1024,chased,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,1024_1024_1024,the_2,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,1024_1024_1024,rat,50,47.156,47.1,47.158393187288766,47.28677272727273,subject
gender,GLoVe,20_20_20,the_1,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,20_20_20,cat,50,79.458,72.34772727272727,79.39388867291255,85.80793333333332,subject
gender,GLoVe,20_20_20,chased,50,49.258,48.75403248993674,49.27004300190961,49.804516908212555,subject
gender,GLoVe,20_20_20,the_2,50,47.1,47.1,47.1,47.1,subject
gender,GLoVe,20_20_20,rat,50,50.428,49.54133928571428,50.4153089385025,51.27160635964913,subject
gender,GPT,1024,the_1,50,47.1,47.1,47.1,47.1,subject
gender,GPT,1024,cat,18,100,100,100,100,subject
gender,GPT,1024,chased,17,96.1470588235294,95.64992647058824,96.14711495395335,96.66003846153846,subject
gender,GPT,1024,the_2,29,95.85172413793103,95.33895217391304,95.85126442934009,96.23162280701754,subject
gender,GPT,1024,rat,3,97.23333333333333,96.6,97.23418755839008,97.7,subject
gender,GPT,1024_1024_1024,the_1,50,47.1,47.1,47.1,47.1,subject
gender,GPT,1024_1024_1024,cat,1,100,100,100,100,subject
gender,GPT,1024_1024_1024,chased,2,95.6,94.8,95.57584979591837,96.4,subject
gender,GPT,1024_1024_1024,the_2,2,95.95,94.9,95.94715000000001,97,subject
gender,GPT,20_20_20,the_1,50,47.1,47.1,47.1,47.1,subject
