Task,Encoder,Classifier,Word,n,Accuracy,ci_lower,mean,ci_upper
subject,ELMo,1024_1024_1024,chased,45,24.906666666666666,21.66313953488372,24.876080080037855,28.035250356379187
subject,ELMo,1024_1024_1024,the_2,27,16.574074074074073,13.303121794871794,16.625431914759737,20.128261363636362
subject,ELMo,1024_1024_1024,rat,15,12.52,10.205110294117647,12.582428091686834,15.051
subject,ELMo,20_20_20,the_1,50,57.794,54.99605681818182,57.78227200384348,60.68737938596492
subject,ELMo,20_20_20,cat,50,59.884,57.01720394736842,59.86799034536133,62.42559840425532
subject,ELMo,20_20_20,chased,50,52.026,50.03737645348838,52.00513507431598,53.9979496124031
subject,ELMo,20_20_20,the_2,50,46.19,44.53406929347826,46.224098075846996,48.04705792682927
subject,ELMo,20_20_20,rat,49,20.80204081632653,19.680375132555675,20.77282726942677,21.74735420240137
subject,GPT,1024,the_1,50,3.126,3.056737837837838,3.126189777005331,3.2051724137931035
subject,GPT,1024,cat,50,52.762,50.183819604233776,52.80617269594139,55.4377673025732
subject,GPT,1024,chased,50,61.708,56.34021900269542,61.74522882708459,66.37216808510638
subject,GPT,1024,the_2,50,74.36,70.38305647840531,74.47177342106293,78.07232142857143
subject,GPT,1024,rat,50,61.089999999999996,56.31387043189369,60.937198774365626,64.87274011299434
subject,GPT,1024_1024_1024,the_1,50,3.68,3.60195,3.678920849719895,3.755013888888889
subject,GPT,1024_1024_1024,cat,49,27.579591836734693,24.920068413729126,27.583502353065676,30.377678571428568
subject,GPT,1024_1024_1024,chased,44,21.331818181818182,18.26707156019656,21.312402224625327,24.311617647058824
subject,GPT,1024_1024_1024,the_2,47,37.61063829787234,33.88018768768769,37.56980209999211,41.118338383838385
subject,GPT,1024_1024_1024,rat,49,28.806122448979593,25.87075255102041,28.848839085745155,31.64434230769231
subject,GPT,20_20_20,the_1,50,3.612,3.5254431818181815,3.610875347237822,3.6836816326530615
subject,GPT,20_20_20,cat,50,58.632,55.83261574074074,58.590879003051924,61.23368421052631
subject,GPT,20_20_20,chased,50,57.282000000000004,55.445687500000005,57.34501871465652,59.4551614205004
subject,GPT,20_20_20,the_2,50,62.403999999999996,60.24812553832902,62.38423579957844,64.51874484004128
subject,GPT,20_20_20,rat,50,42.456,41.1011484375,42.446331895118554,43.64529245283019
verb,BERT,1024,the_1,50,61.314,58.57707346447209,61.30857518460481,64.23506304347826
verb,BERT,1024,cat,50,65.698,63.15202973887814,65.66136669634295,68.1266268100044
verb,BERT,1024,chased,50,65.704,63.34644532843737,65.72533726278856,67.97939682539683
verb,BERT,1024,the_2,50,67.568,65.04,67.532264155366,69.96417091836734
verb,BERT,1024,rat,50,66.376,64.61760360962568,66.3772224252671,68.19846675531915
verb,BERT,1024_1024_1024,the_1,45,31.575555555555557,28.0705,31.60504974203938,35.195563063063055
verb,BERT,1024_1024_1024,cat,50,33.06,30.26174730107957,33.10247115095979,36.00643201542913
verb,BERT,1024_1024_1024,chased,50,35.712,32.64761038961039,35.74368501321821,38.719966457960645
verb,BERT,1024_1024_1024,the_2,50,38.166,34.9785775862069,38.148161579989825,41.075999498159916
verb,BERT,1024_1024_1024,rat,50,41.216,37.85701503119682,41.21837853336201,44.545941878567724
verb,BERT,20_20_20,the_1,50,57.968,55.9752025527192,58.017480327518356,60.129619318181824
verb,BERT,20_20_20,cat,50,57.994,56.285560141509436,58.00631849225209,59.822175166297114
verb,BERT,20_20_20,chased,50,61.278,58.76359791666666,61.26422294042182,63.947075797872344
verb,BERT,20_20_20,the_2,50,63.402,61.214161129568105,63.44677884306705,65.6350340909091
verb,BERT,20_20_20,rat,50,59.644,58.21036315789473,59.67460606985797,61.242799999999995
verb,ELMo,1024,the_1,49,22.146938775510204,19.34505,22.187115539668394,25.32514423076923
verb,ELMo,1024,cat,48,42.233333333333334,37.91939440133038,42.157970540673595,46.01180392156862
verb,ELMo,1024,chased,50,62.31,60.194791481810114,62.31086490497462,64.34831725518747
verb,ELMo,1024,the_2,50,52.568,49.80191142460684,52.51591092296742,55.42537623248573
verb,ELMo,1024,rat,50,60.284,57.47712167886022,60.26605976860669,63.13361111111111
verb,ELMo,1024_1024_1024,the_1,29,19.20689655172414,15.718637931034484,19.217513216960697,22.721134615384614
verb,ELMo,1024_1024_1024,cat,42,21.373809523809523,18.354791666666667,21.334755971570353,24.222681508791833
verb,ELMo,1024_1024_1024,chased,50,35.028,32.1418538647343,35.001926827659936,37.55522222222222
verb,ELMo,1024_1024_1024,the_2,46,22.743478260869566,19.943928571428568,22.758619932223105,25.717168367346936
verb,ELMo,1024_1024_1024,rat,49,31.177551020408163,27.971051493710693,31.140259166505,34.27734042553191
verb,ELMo,20_20_20,the_1,50,48.58,46.52666779584462,48.567710069489664,50.694723889555824
verb,ELMo,20_20_20,cat,50,39.08,37.80627548758866,39.05787095880371,40.37436607142857
verb,ELMo,20_20_20,chased,50,62.224,59.645399758454104,62.2514655926353,64.85402636054421
verb,ELMo,20_20_20,the_2,50,63.602,61.032636363636364,63.63894249542553,66.11659157449577
verb,ELMo,20_20_20,rat,50,58.744,56.359398584905655,58.73103758481269,61.19825396825397
verb,GPT,1024,the_1,50,3.458,3.3266603773584906,3.4575132092177117,3.5638366066557556
verb,GPT,1024,chased,50,56.246,53.68520847632121,56.30140465678171,58.83540261756876
verb,GPT,1024,the_2,50,76.144,73.94369038155803,76.19004513032968,78.50871010638299
verb,GPT,1024,rat,50,75.896,72.0760745614035,75.89434135655878,78.45205265610439
